Date,dominant_regime,dominant_regime_probability,transition_entropy,instability_score
2025-05-15,normal,0.38333333333333336,1.2310059783830634,0.7591203533362224
2025-05-16,normal,0.36666666666666664,1.2620741852832678,0.7993136506794029
2025-05-19,normal,0.35,1.2881733630166035,0.8373126859607922
2025-05-20,normal,0.35,1.2881733630166035,0.8373126859607922
2025-05-21,normal,0.3333333333333333,1.3101226708151739,0.8734151138767827
2025-05-22,normal,0.3333333333333333,1.3101226708151739,0.8734151138767827
2025-05-23,normal,0.31666666666666665,1.3284475147968169,0.9077724684444916
2025-05-27,normal,0.3333333333333333,1.3246202093365818,0.8830801395577212
2025-05-28,normal,0.31666666666666665,1.3405559356176813,0.9160465560054155
2025-05-29,normal,0.3333333333333333,1.3356166945343826,0.8904111296895885
2025-05-30,normal,0.3333333333333333,1.3433328962848217,0.8955552641898812
2025-06-02,normal,0.31666666666666665,1.3553241485015377,0.9261381681427174
2025-06-03,normal,0.31666666666666665,1.358231894813244,0.9281251281223833
2025-06-04,normal,0.3,1.366158847569202,0.9563111932984413
2025-06-05,normal,0.3,1.3647683466880345,0.955337842681624
2025-06-06,normal,0.3,1.3647683466880345,0.955337842681624
2025-06-09,high_volatility,0.3,1.3690950771140618,0.9583665539798432
2025-06-10,high_volatility,0.3,1.3690950771140618,0.9583665539798432
2025-06-11,high_volatility,0.3,1.371249358634056,0.9598745510438391
2025-06-12,high_volatility,0.3,1.371249358634056,0.9598745510438391
2025-06-13,high_volatility,0.3,1.3637125215960966,0.9545987651172675
2025-06-16,high_volatility,0.3,1.3637125215960966,0.9545987651172675
2025-06-17,high_volatility,0.3,1.3637125215960966,0.9545987651172675
2025-06-18,high_volatility,0.3,1.3637125215960966,0.9545987651172675
2025-06-20,high_volatility,0.3,1.3637125215960966,0.9545987651172675
2025-06-23,high_volatility,0.3,1.3637125215960966,0.9545987651172675
2025-06-24,high_volatility,0.3,1.3555485748396154,0.9488840023877307
2025-06-25,high_volatility,0.3,1.3555485748396154,0.9488840023877307
2025-06-26,bull,0.3,1.3435056426631489,0.9404539498642042
2025-06-27,bull,0.31666666666666665,1.3284475147968169,0.9077724684444916
2025-06-30,bull,0.3333333333333333,1.3246202093365818,0.8830801395577212
2025-07-01,bull,0.3333333333333333,1.3246202093365818,0.8830801395577212
2025-07-02,bull,0.3333333333333333,1.3101226708151739,0.8734151138767827
2025-07-03,bull,0.35,1.2881733630166035,0.8373126859607922
2025-07-07,bull,0.36666666666666664,1.2620741852832678,0.7993136506794029
2025-07-08,bull,0.36666666666666664,1.2361764067058687,0.7829117242470501
2025-07-09,bull,0.38333333333333336,1.231986936717332,0.7597252776423548
2025-07-10,bull,0.4,1.1945305624324019,0.7167183374594411
2025-07-11,bull,0.4166666666666667,1.1879406224284825,0.6929653630832814
2025-07-14,bull,0.4166666666666667,1.1859173181972835,0.6917851022817486
2025-07-15,bull,0.4166666666666667,1.1818556755287524,0.6894158107251055
2025-07-16,bull,0.4166666666666667,1.1387888337654597,0.6642934863631847
2025-07-17,bull,0.43333333333333335,1.1281862771114617,0.6393055570298283
2025-07-18,bull,0.45,1.056901520552156,0.5812958363036858
