Date,state_0_filtered_probability,state_1_filtered_probability,state_2_filtered_probability
2025-04-05,1.0648334510977672e-69,5.860219155914936e-133,1.0
2025-04-06,5.754233441704799e-56,1.1283109325458484e-123,1.0
2025-04-07,3.2697352634240237e-56,5.773921442788983e-122,1.0
2025-04-08,7.115997345025098e-55,2.47521623415285e-178,1.0
2025-04-09,1.0,1.8249645783210418e-136,4.102810465172968e-30
2025-04-10,1.0,7.283717386073018e-205,5.7812604197917174e-43
2025-04-11,1.0,3.9073059568427323e-193,1.4995085865081494e-45
2025-04-12,1.0,2.7243510850798e-191,4.300665320423614e-46
2025-04-13,1.0,4.054921467815572e-190,1.60526757169825e-45
2025-04-14,1.0,1.6829734298203687e-173,4.959401337212513e-45
2025-04-15,1.0,1.5401390564960525e-172,2.7304467881004294e-44
2025-04-16,1.0,3.173666566445994e-182,1.7837009554014253e-46
2025-04-17,1.0,3.939399961216164e-172,2.1777074773117968e-46
2025-04-18,1.0,4.223237181884529e-172,1.4392246294002889e-46
2025-04-19,1.0,4.2803161859178294e-172,9.105562916280858e-47
2025-04-20,1.0,1.1266319121007326e-174,1.0047119403575332e-46
2025-04-21,1.0,8.453505179692896e-188,1.6519967843682935e-49
2025-04-22,1.0,9.344735932208908e-182,4.897265080503443e-51
2025-04-23,1.0,4.961461541066086e-166,6.131133262301709e-48
2025-04-24,1.0,6.259707858981779e-153,4.357305748499464e-49
2025-04-25,1.0,3.145357341205693e-149,3.4127072056300113e-49
2025-04-26,1.0,1.2647033839609062e-139,2.190039562088725e-47
2025-04-27,1.0,5.661241398209167e-128,2.5390134324193544e-43
2025-04-28,1.0,4.0175744697368546e-85,6.286853214620466e-36
2025-04-29,1.9231896525411318e-67,4.31995223482828e-27,1.0
2025-04-30,6.383297353372841e-112,0.9978987183069128,0.0021012816934073875
2025-05-01,1.0923603589941842e-130,0.9999948120919693,5.187908225343043e-06
2025-05-02,6.483379542670823e-133,0.9999999889241735,1.1075576521322342e-08
2025-05-03,4.507537987086471e-139,0.9999999978790584,2.1207484468419184e-09
2025-05-04,7.05388127110156e-137,0.9999999969386408,3.061937670781005e-09
