Date,state_0_probability,state_1_probability,state_2_probability
2024-11-21,0.12547582077318817,6.16724582665154e-05,0.8744625067682337
2024-11-22,0.015851441699695146,2.0851429258974765e-05,0.9841277068714114
2024-11-23,0.00197746907899444,2.7343137537618266e-06,0.9980197966074815
2024-11-24,0.00025047202478497253,1.0347442163548222e-06,0.999748493230978
2024-11-25,0.00035223702532999926,1.4010136751105379e-08,0.9996477489641258
2024-11-26,4.429662419933417e-06,2.1895176497321846e-10,0.9999955701185066
2024-11-27,3.2623110280896295e-05,1.8326364239903016e-11,0.9999673768717007
2024-11-28,3.0268352198640832e-05,2.2150874856924708e-10,0.9999697314266897
2024-11-29,1.494251553681511e-05,8.640226975766992e-11,0.9999850573983635
2024-11-30,9.799835986415066e-06,3.3450672384024304e-11,0.9999902001307396
2024-12-01,3.970438405663105e-07,2.6369424825961923e-12,0.9999996029538003
2024-12-02,5.122695292973761e-07,7.963234336629573e-14,0.9999994877299689
2024-12-03,3.3213891500243923e-07,8.698588019672274e-14,0.9999996678607755
2024-12-04,3.4028899406674875e-08,2.3674920962469714e-14,0.9999999659712563
2024-12-05,8.14178696149337e-10,2.68473501744783e-14,0.9999999991860022
2024-12-06,1.1618601894644994e-09,1.8366228371756186e-15,0.9999999988385753
2024-12-07,1.0870672252461162e-09,2.574349880582211e-15,0.9999999989131538
2024-12-08,1.4614901723052912e-09,1.4678737606606517e-15,0.999999998538442
2024-12-09,2.0576507559564387e-09,3.585203118789213e-16,0.999999997942723
2024-12-10,2.648408529134433e-09,3.9518287212850737e-16,0.9999999973515514
2024-12-11,1.9269746556456283e-09,5.5410708710245e-16,0.9999999980727807
2024-12-12,5.1746557724944905e-09,2.6373733906464813e-16,0.9999999948249751
2024-12-13,4.002433171409926e-09,1.116555454077824e-15,0.9999999959973138
2024-12-14,4.0086186456623754e-09,8.832399915460935e-16,0.9999999959909474
2024-12-15,1.2818010012641265e-09,1.4094139134844277e-15,0.999999998718522
2024-12-16,1.6244989365562177e-09,4.134151976549877e-16,0.9999999983756425
2024-12-17,2.1270865629068564e-06,9.634148787117538e-23,0.9999978729133431
2024-12-18,0.9999999506753751,3.581066803273055e-18,4.932484128104206e-08
2024-12-19,0.9999999976444087,1.9101234035208498e-10,2.164845848390173e-09
2024-12-20,0.9999943954428713,2.2133885264328315e-10,5.604335446590922e-06
2024-12-21,0.9999946584045447,1.2242100607904538e-10,5.341472844060506e-06
2024-12-22,0.9999969488218249,3.456016119050373e-10,3.0508322539652335e-06
2024-12-23,0.9999884169190046,5.581302927828363e-10,1.1582522440362803e-05
2024-12-24,0.9999888358938921,2.4269654636100197e-09,1.1161679215445247e-05
2024-12-25,0.99998019845458,2.157564322823285e-09,1.979938797603996e-05
