simulation_id,expected_return,volatility,variance,sharpe_ratio
256,0.0011813850419278558,0.007910182806794064,6.257099203690043e-05,0.1493499038875768
257,0.001552376119167951,0.014167737093746866,0.0002007247743575309,0.10957121161241158
258,0.0011719836577826909,0.009533390757858268,9.088553934201745e-05,0.12293460821551216
259,0.0011256290877887586,0.011547523320243877,0.00013334529483157616,0.09747796618998177
260,0.0013650000704668046,0.00910273409434737,8.285976799239403e-05,0.14995495378849355
261,0.0010214181704599522,0.009293911060952717,8.637678280889926e-05,0.1099018662607308
262,0.0010321101694032756,0.008285193316747937,6.864442829588468e-05,0.12457285303372914
263,0.0013216111950711065,0.012152561765414113,0.000147684757462205,0.1087516542258916
264,0.0009915761722692554,0.010477312707032234,0.00010977408156093912,0.0946403147444213
265,0.0010062152609906152,0.00728284521077321,5.303983436408228e-05,0.13816238459965657
266,0.0014392824956508347,0.011704246664285385,0.00013698938997843557,0.12297096403843703
267,0.0010728921856604091,0.010910172634795079,0.00011903186692103139,0.09833869926482249
268,0.0013146593447751775,0.010452427557798521,0.00010925324185102597,0.1257755040640597
269,0.0015499338045511682,0.015949572526148415,0.0002543888637668683,0.09717713763238106
270,0.0013005960669064183,0.01563352586303411,0.0002444071309101564,0.08319275372049709
271,0.0008253781560156922,0.007919490534754405,6.271833033006462e-05,0.10422111780973148
272,0.0015133165257613101,0.011877763146765568,0.00014108125737066228,0.12740753516148376
273,0.001164124287482058,0.011134580499876335,0.00012397888290822633,0.10455034992068064
274,0.0016974324243333226,0.0194365171508328,0.0003777781989546177,0.08733212906205226
275,0.0013838230984910284,0.01175670453081536,0.0001382201014248944,0.11770501630485873
276,0.0012574478414890014,0.01306423393615913,0.0001706742083386919,0.09625117306026208
277,0.0010810545732437373,0.009996952416009453,9.993905760795722e-05,0.10813841341412214
278,0.0009776541114534438,0.010985279347577178,0.00012067636234430566,0.0889967456011091
279,0.0013976092113070263,0.0190190166844755,0.0003617229956443574,0.07348483018303684
280,0.001367450494858936,0.007897530295320641,6.237098476550733e-05,0.17314912937645366
281,0.0017541940581310223,0.020475207708739212,0.0004192341307160137,0.08567405435317262
282,0.00106805566722152,0.013675279958147915,0.00018701328193372206,0.07810119211381542
283,0.0009758447761434729,0.006061664880609667,3.6743781124816614e-05,0.1609862629102196
284,0.0008563658148764678,0.00940057372621874,8.83707863820741e-05,0.09109718617364963
285,0.0010397087537355471,0.009688157584255631,9.38603973773699e-05,0.10731748990387949
286,0.000705337739697763,0.010277519428074597,0.00010562740559445079,0.06862918086742083
287,0.0010446301919896752,0.007205124811529638,5.1913823549720006e-05,0.14498432980897963
288,0.0014629384885884496,0.016185353844189277,0.00026196567906161257,0.09038656199126971
289,0.0010923857524301965,0.010678057469021025,0.00011402091131171567,0.10230191732900905
290,0.001043323078487892,0.007191241009718432,5.171394725985618e-05,0.14508247979422714
291,0.0009432412906795821,0.011996288770010428,0.0001439109442534783,0.0786277580311
292,0.001541747473530775,0.01612451128741249,0.00025999986425789286,0.09561514430110707
293,0.0016401749322480451,0.015681972437261493,0.00024592425952302916,0.1045898364386148
294,0.0012015384330397306,0.00860978523575559,7.412840180583495e-05,0.13955498309642614
295,0.0009132649717127325,0.012601225459153698,0.00015879088307242333,0.07247429820798298
296,0.0013420292873425337,0.012170947954106226,0.0001481319741015625,0.11026497626996759
297,0.0012326828720585006,0.007534934317640212,5.677523517115216e-05,0.16359570237694546
298,0.0011176529121762744,0.012549393010718576,0.00015748726493747223,0.08906031640109403
299,0.0011536940671657602,0.011352789134402444,0.0001288858211302062,0.10162208189613178
300,0.0015539576411420868,0.016041797538318046,0.000257339268260387,0.09686929643827287
301,0.001190670572487507,0.00736250372056617,5.42064610353507e-05,0.16172087888547043
302,0.001160217420996008,0.011106156056976032,0.0001233467023619054,0.10446615508047438
303,0.001624113100914172,0.014211238827226613,0.00020195930900447325,0.11428371028446961
304,0.0015691261131156645,0.013243239711848575,0.00017538339806548312,0.11848506462597556
305,0.0014808216589126365,0.013861181239569849,0.0001921323453562031,0.10683228458807675
306,0.0010691643425884186,0.008643828099201714,7.471576420854911e-05,0.1236910695490531
307,0.0013131915155266572,0.014224864011277807,0.00020234675613934656,0.09231663054813938
308,0.0014057249187255248,0.014743830430100947,0.0002173805357515707,0.09534326411239798
309,0.0010873306333701526,0.01463288408810631,0.0002141212967359548,0.07430733591704872
310,0.0015099929068137946,0.01278426195648224,0.0001634373537719591,0.11811342038780384
311,0.0009085175343030615,0.009527900765644165,9.078089299996268e-05,0.0953533791597627
312,0.0012106010009293904,0.011961311234364285,0.00014307296644532926,0.1012097233496768
