path_id,day,regime,simulated_return,cumulative_return
920,43,normal,-0.002547452316550932,0.012354938396720083
920,44,normal,-0.001166316050286061,0.011174212583481724
920,45,normal,-0.004019725273161802,0.007109570045590319
920,46,normal,0.003936519996911046,0.011074077007155347
920,47,normal,-0.00017521761118180837,0.010896919022654439
920,48,normal,0.0028598738436182874,0.013787956679961688
920,49,bull,-0.004938725240698947,0.008781136509589782
920,50,normal,-0.0019217439406421905,0.00684251747306841
920,51,normal,0.006057016202308942,0.012940978914576462
920,52,bull,-0.0002972199509888979,0.01263991264646891
920,53,bull,-0.0011816004138195271,0.01144337690663555
920,54,bull,0.0018668832334961458,0.013331623588613173
920,55,normal,-0.0025787694459762063,0.01071847495906142
920,56,normal,-0.0019045008414922435,0.008793560772990094
920,57,normal,0.000921830305525187,0.009723497249329194
920,58,normal,0.0058199290878129025,0.015600016401618788
920,59,normal,-0.002899260003553028,0.012655527894457785
920,60,normal,0.0025997038630780475,0.01528813238229243
921,1,bull,0.0028395846923208587,0.002839584692320818
921,2,normal,0.0020480422879278898,0.004893442569778639
921,3,normal,0.004227902117742299,0.009142033683724682
921,4,normal,-0.0015169636955414097,0.007611201854981653
921,5,normal,0.00813651633193375,0.0158096468551141
921,6,normal,-0.0002513706499676007,0.015554302123940822
921,7,normal,-0.0025011339485249647,0.013014264782328144
921,8,normal,-0.0019340845928424908,0.011055009500482882
921,9,normal,0.001597258391229356,0.012669925598401965
921,10,bull,0.0013580163511315562,0.014045147915663803
921,11,bull,-0.002900529259314507,0.011103880293868551
921,12,normal,0.002008614180679591,0.013134797885967053
921,13,normal,-0.0004133442293483929,0.012716024463708786
921,14,bull,0.007522329664732915,0.02033400825648246
921,15,normal,0.003066237903090563,0.023462595066410907
921,16,normal,0.0010663935002450415,0.02455400892553361
921,17,normal,0.0018975454454317638,0.026498146718769044
921,18,normal,0.00202778114913225,0.028579660310304567
921,19,normal,-0.003388238098432377,0.02509458751796867
921,20,crisis,0.0011461224075328671,0.026269471394563704
921,21,crisis,-0.002938795742221478,0.023253475041657534
921,22,normal,0.003231451053364875,0.02656006856144022
921,23,crisis,-0.010267061080770218,0.01602031363444012
921,24,high_volatility,-0.0029555004831381864,0.013017465106615278
921,25,bull,0.00234596848357921,0.0153939721530707
921,26,normal,0.004616502269572927,0.020081540730026104
921,27,normal,-0.005339270502373768,0.014635049449590154
921,28,bull,-0.002229205332267091,0.012373219587052064
921,29,normal,0.006109845764983939,0.018558663815329224
921,30,normal,-0.002286723456082236,0.016229501827386805
921,31,crisis,-0.008609882899434262,0.0074798848177024535
921,32,crisis,-0.01171102251259926,-0.004318734794388601
921,33,normal,0.006092618663201639,0.001747571464603137
921,34,normal,-0.0012777878640646131,0.00046755057492942065
921,35,normal,0.0008282905933748443,0.0012962284360473753
921,36,crisis,-0.00810710488394125,-0.0068213851077785215
921,37,normal,-0.0014426625386944232,-0.008254206689715882
921,38,normal,-0.0005410509975227204,-0.008790791740475479
921,39,normal,-0.0027953590301201224,-0.011561577351521857
921,40,normal,-0.001488660073849261,-0.013033026166777262
921,41,normal,-0.002904236717072537,-0.015899411890721638
921,42,bull,0.005154635032612575,-0.01082673252363886
921,43,normal,0.0045751387826334115,-0.006301127544863561
921,44,normal,-0.0026211033703274953,-0.008905715008546311
921,45,normal,0.004273484141190683,-0.00467028929921065
921,46,normal,0.008913600256414553,0.004201681865309004
921,47,crisis,-0.0011770892645626804,0.0030196468461294312
921,48,normal,0.00038107313426088366,0.003401870686678299
921,49,bull,0.0010215432210178331,0.004426889065634931
921,50,normal,0.0015807956579456757,0.006014682730593801
921,51,normal,-0.0019982986068703993,0.004004364991602172
921,52,crisis,-0.008804557630382907,-0.004835449301122341
921,53,normal,-0.0011849152316268426,-0.006014634935220586
921,54,normal,-0.0031689549748134148,-0.0091645298027343
921,55,normal,-0.0004246312329104689,-0.009585269490055559
921,56,normal,-0.002147353991939157,-0.0117120405152914
921,57,normal,-0.0004237035766478639,-0.012130781658483136
921,58,normal,0.0038973976147689206,-0.008280662523215243
921,59,bull,0.003238240617921691,-0.005069236683019507
921,60,bull,0.004340823755544084,-0.0007504175904916588
922,1,bull,0.004236590904930106,0.004236590904930004
922,2,bull,0.0033477856057895043,0.00759855970876866
922,3,bull,-0.0004477154783613614,0.007147442237612545
922,4,normal,0.005446121235921787,0.012632489310487216
922,5,normal,-0.0021961193845907536,0.010408627471246046
922,6,normal,0.006160447650487309,0.01663319692638332
922,7,normal,0.0022984761123400533,0.018969904044530583
922,8,bull,-0.0009422688784357135,0.018009760415886866
922,9,bull,-0.000992919931317976,0.0169989582344936
