Date,gross_return,transaction_cost,net_return,turnover,gross_cumulative_return,net_cumulative_return,running_max,net_drawdown
2025-01-22,0.00300808092468142,0.0,0.00300808092468142,0.0,0.03515498638644621,0.03312970258023129,1.0331297025802313,0.0
2025-01-23,0.0035123795041635437,0.0,0.0035123795041635437,0.0,0.038790843544262765,0.03675844617271684,1.0367584461727168,0.0
2025-01-24,-0.0008459667754415831,0.0,-0.0008459667754415831,0.0,0.03791206100399136,0.0358813829730964,1.0367584461727168,-0.0008459667754414646
2025-01-27,0.005484696401661913,0.0,0.005484696401661913,0.0,0.04360469355022145,0.041562877866837544,1.0415628778668375,0.0
2025-01-28,0.001852474323755063,0.0,0.001852474323755063,0.0,0.04553794444917347,0.04349234635466237,1.0434923463546624,0.0
2025-01-29,-0.0029441037388607473,0.0,-0.0029441037388607473,0.0,0.042459772277799734,0.04042019663628693,1.0434923463546624,-0.0029441037388608926
2025-01-30,0.004149700367571499,0.0,0.004149700367571499,0.0,0.046785667977999434,0.04473762870869735,1.0447376287086974,0.0
2025-01-31,-0.0034775389392177913,0.0,-0.0034775389392177913,0.0,0.04314543005659077,0.04110451292359674,1.0447376287086974,-0.0034775389392178724
2025-02-03,0.003996052916654075,0.0,0.003996052916654075,0.0,0.04731389439486278,0.0452648216490068,1.0452648216490068,0.0
2025-02-04,0.0021657296462579347,0.0,0.0021657296462579347,0.0,0.04958209314489137,0.04752858266144244,1.0475285826614424,0.0
2025-02-05,0.0035848329998478708,0.0,0.0035848329998478708,0.0,0.05334466966844653,0.051283797692851074,1.051283797692851,0.0
2025-02-06,-0.0009217366487397958,0.0,-0.0009217366487397958,0.0,0.052373763282658414,0.05031479088829127,1.051283797692851,-0.0009217366487397349
2025-02-07,-0.004240911382515079,0.0,-0.004240911382515079,0.0,0.04791073941129276,0.04586049893638933,1.051283797692851,-0.005158739027809389
2025-02-10,0.004801222855800394,0.0003060033151908781,0.004495219540609516,0.3060033151908781,0.05294199240419295,0.050561871487959875,1.051283797692851,-0.000686709151682452
2025-02-11,0.0005984809297692476,0.0,0.0005984809297692476,0.0,0.05357215810680005,0.05119061273358816,1.051283797692851,-8.86392042447337e-05
2025-02-12,-0.004081901443735605,0.0,-0.004081901443735605,0.0,0.04927158039354418,0.04689975625382958,1.051283797692851,-0.004170178831484628
2025-02-13,0.007814092104579194,0.0,0.007814092104579194,0.0,0.057470685165456725,0.05508032737345858,1.0550803273734586,0.0
2025-02-14,-0.00365912170217237,0.0,-0.00365912170217237,0.0,0.05360127123195668,0.0512196600500312,1.0550803273734586,-0.0036591217021724187
2025-02-18,0.00486210248225428,0.0,0.00486210248225428,0.0,0.05872398858811989,0.056330797768554985,1.056330797768555,0.0
2025-02-19,0.0015146483593441462,0.0,0.0015146483593441462,0.0,0.060327583140433294,0.05793076747831982,1.0579307674783198,0.0
2025-02-20,-0.0029081151361087473,0.0,-0.0029081151361087473,0.0,0.05724402844666887,0.054854183000460965,1.0579307674783198,-0.00290811513610878
2025-02-21,-0.004932029541444766,0.0,-0.004932029541444766,0.0,0.05202966966585376,0.049651611007986096,1.0579307674783198,-0.00782580176779235
2025-02-24,0.0008146705480848031,0.0,0.0008146705480848031,0.0,0.0528867272534419,0.05050673126122396,1.0579307674783198,-0.007017506669922957
2025-02-25,-0.0013470513705555471,0.0,-0.0013470513705555471,0.0,0.051468434744455394,0.04909164472910077,1.0579307674783198,-0.008355105098500903
2025-02-26,-0.0007714758924729154,0.0,-0.0007714758924729154,0.0,0.050657252195353886,0.048282295816197474,1.0579307674783198,-0.009120135228811277
2025-02-27,-0.007367172525842037,0.0,-0.007367172525842037,0.0,0.042916878952903526,0.04055941928713369,1.0579307674783198,-0.01642011814496369
2025-02-28,0.007924300645141533,0.0,0.007924300645141533,0.0,0.05118126584961891,0.0488051249646988,1.0579307674783198,-0.008625935452631572
2025-03-03,-0.0028942423561414583,0.0,-0.0028942423561414583,0.0,0.04813889250601466,0.04576962874868773,1.0579307674783198,-0.01149521226102479
2025-03-04,-0.0076104758151484785,0.0,-0.0076104758151484785,0.0,0.040162056813681124,0.03781082428087901,1.0579307674783198,-0.019018204041270748
