Date,gross_portfolio_return,gross_exposure,cash_weight,portfolio_turnover,transaction_cost,net_portfolio_return,gross_equity_curve,net_equity_curve,gross_running_peak,net_running_peak,gross_drawdown,net_drawdown
2025-02-15,0.0,0.9999999999999998,0.0508815664403119,0.007499914577318259,7.499914577318259e-06,-7.499914577318259e-06,0.989652407077396,0.9649126975033027,1.045831869613403,1.028618418601567,-0.05371748955859801,-0.06193328832753542
2025-02-16,0.0,0.9999999999999998,0.0745009669582845,0.13398811472128558,0.0001339881147212856,-0.0001339881147212856,0.989652407077396,0.9647834106700935,1.045831869613403,1.028618418601567,-0.05371748955859801,-0.06205897811771521
2025-02-17,0.0,0.9999999999999999,0.07622986467406,0.02106903425176754,2.106903425176754e-05,-2.106903425176754e-05,0.989652407077396,0.9647630836153686,1.045831869613403,1.028618418601567,-0.05371748955859801,-0.06207873962923138
2025-02-18,0.0011698003115766784,0.9999999999999998,0.1021798433533549,0.08020293076605994,8.020293076605994e-05,0.0010895973808106186,0.9908101027715478,0.9658142869443788,1.045831869613403,1.028618418601567,-0.05261052798304411,-0.06105678308052476
2025-02-19,-0.004653181081596272,0.9999999999999998,0.0574080199638784,0.0497900378279692,4.97900378279692e-05,-0.0047029711194242416,0.9861996839458768,0.9612720902461521,1.045831869613403,1.028618418601567,-0.05701890275113686,-0.06547260591247617
2025-02-20,-0.014607219705347781,0.9999999999999998,0.0788593302020767,0.09140517993361429,9.140517993361428e-05,-0.014698624885281395,0.9717940484891349,0.9471427123789335,1.045831869613403,1.028618418601567,-0.0707932348166408,-0.07920887352318828
2025-02-21,0.0001684624823510253,0.9999999999999999,0.0724575474552987,0.4801825675158973,0.0004801825675158973,-0.000311720085164872,0.9719577593268773,0.9468474689719675,1.045831869613403,1.028618418601567,-0.07063669833836062,-0.0794959026115527
2025-02-22,0.0,1.0,0.2548944090494405,0.33496846527850954,0.00033496846527850956,-0.00033496846527850956,0.9719577593268773,0.9465303049284332,1.045831869613403,1.028618418601567,-0.07063669833836062,-0.07980424245633744
2025-02-23,0.0,0.9999999999999998,0.0650471963247964,0.5547910618119475,0.0005547910618119475,-0.0005547910618119475,0.9719577593268773,0.9460051783755247,1.045831869613403,1.028618418601567,-0.07063669833836062,-0.08031475883773997
2025-02-24,0.0029964626374004754,1.0,0.2796090259379518,0.5547910618119476,0.0005547910618119476,0.0024416715755885277,0.9748701944378317,0.9483150123299238,1.045831869613403,1.028618418601567,-0.0678518959283605,-0.0780691895259058
2025-02-25,0.0015663375606640119,0.9999999999999998,0.3719387861955736,0.0923297602576219,9.232976025762192e-05,0.0014740078004063899,0.9763971702401516,0.9497128360553405,1.045831869613403,1.028618418601567,-0.0663918373408513,-0.07671025631983208
2025-02-26,-0.0021874183448647375,0.9999999999999998,0.3720910542282922,0.012789979307922212,1.2789979307922213e-05,-0.0022002083241726596,0.9742613811580944,0.9476232699678779,1.045831869613403,1.028618418601567,-0.06843402896276729,-0.07874168609950039
