Date,regime,portfolio_beta_to_spy,rolling_beta_20,rolling_beta_60
2025-04-28,high_volatility,-0.14007050912344415,0.04372875441183249,0.18457680768949644
2025-04-29,high_volatility,-0.14007050912344415,0.025877613796175203,0.17774511792116007
2025-04-30,high_volatility,-0.14007050912344415,0.005382544491166025,0.17091342815282362
2025-05-01,high_volatility,-0.14007050912344415,-0.015112524813843158,0.16408173838448725
2025-05-02,high_volatility,-0.14007050912344415,-0.032963665429500445,0.15725004861615086
2025-05-05,high_volatility,-0.14007050912344415,-0.050814806045157736,0.15098560256661492
2025-05-06,high_volatility,-0.14007050912344415,-0.06866594666081502,0.14415391279827855
2025-05-07,high_volatility,-0.14007050912344415,-0.08651708727647231,0.1378894667487426
2025-05-08,high_volatility,-0.14007050912344415,-0.08651708727647231,0.1310577769804062
2025-05-09,bull,0.2357962538487114,-0.08557488974352181,0.13105777698040622
2025-05-12,bull,0.2357962538487114,-0.06678155159491403,0.13105777698040622
2025-05-13,bull,0.2357962538487114,-0.04798821344630625,0.13105777698040622
2025-05-14,normal,0.2698308769767395,-0.027493144141297065,0.13105777698040622
2025-05-15,bull,0.2357962538487114,-0.026550946608346577,0.13049053326160573
2025-05-16,bull,0.2357962538487114,-0.007757608459738799,0.12992328954280527
2025-05-19,normal,0.2698308769767395,-0.0051136797703869,0.12992328954280527
2025-05-20,bull,0.2357962538487114,0.013679658378220877,0.1293560458240048
2025-05-21,normal,0.2698308769767395,0.03417472768323006,0.1293560458240048
2025-05-22,bull,0.2357962538487114,0.05296806583183784,0.12878880210520433
2025-05-23,normal,0.2698308769767395,0.07346313513684702,0.12967011166832165
2025-05-27,bull,0.2357962538487114,0.0922564732854548,0.12910286794952117
2025-05-28,normal,0.2698308769767395,0.11275154259046398,0.12998417751263847
2025-05-29,bull,0.2357962538487114,0.13154488073907175,0.1302982433569553
2025-05-30,bull,0.2357962538487114,0.15033821888767954,0.12973099963815485
2025-06-02,bull,0.2357962538487114,0.16913155703628732,0.1300450654824717
2025-06-03,bull,0.2357962538487114,0.18792489518489508,0.1294778217636712
2025-06-04,bull,0.2357962538487114,0.20671823333350287,0.12979188760798802
2025-06-05,normal,0.2698308769767395,0.22721330263851205,0.12979188760798804
2025-06-06,bull,0.2357962538487114,0.2460066407871198,0.12922464388918756
2025-06-09,normal,0.2698308769767395,0.24770837194352122,0.12922464388918756
2025-06-10,bull,0.2357962538487114,0.24770837194352122,0.1286574001703871
2025-06-11,normal,0.2698308769767395,0.24941010309992265,0.1286574001703871
2025-06-12,normal,0.2698308769767395,0.24941010309992265,0.1295387097335044
2025-06-13,normal,0.2698308769767395,0.25111183425632405,0.1295387097335044
2025-06-16,normal,0.2698308769767395,0.2528135654127254,0.1295387097335044
2025-06-17,normal,0.2698308769767395,0.2528135654127255,0.1295387097335044
2025-06-18,normal,0.2698308769767395,0.25451529656912686,0.1295387097335044
2025-06-20,normal,0.2698308769767395,0.25451529656912686,0.1295387097335044
2025-06-23,bull,0.2357962538487114,0.25451529656912686,0.1298527755778212
2025-06-24,bull,0.2357962538487114,0.2528135654127255,0.12928553185902075
2025-06-25,bull,0.2357962538487114,0.2528135654127254,0.1295995977033376
2025-06-26,bull,0.2357962538487114,0.251111834256324,0.1299136635476544
2025-06-27,bull,0.2357962538487114,0.25111183425632405,0.12934641982885395
2025-06-30,normal,0.2698308769767395,0.2528135654127255,0.12934641982885395
