date,SPY,QQQ,DIA,TLT,GLD,VIX,BTC-USD,ETH-USD
2017-03-28,204.05459594726562,123.9029312133789,173.61337280273438,93.27826690673828,119.04000091552734,11.529999732971191,1047.1500244140625,
2017-03-29,204.24537658691406,124.47710418701172,173.2439422607422,93.83504486083984,119.33000183105469,11.420000076293945,1039.969970703125,
2017-03-30,204.89573669433594,124.68413543701172,173.7897186279297,93.07722473144531,118.47000122070312,11.539999961853027,1026.4300537109375,
2017-03-31,204.4188232421875,124.59944152832031,173.2691650390625,93.34786224365234,118.72000122070312,12.369999885559082,1071.7900390625,
2017-04-01,204.4188232421875,124.59944152832031,173.2691650390625,93.34786224365234,118.72000122070312,12.369999885559082,1080.5,
2017-04-02,204.4188232421875,124.59944152832031,173.2691650390625,93.34786224365234,118.72000122070312,12.369999885559082,1102.1700439453125,
2017-04-03,204.06329345703125,124.52416229248047,173.1935577392578,94.28945922851562,119.3499984741211,12.380000114440918,1143.81005859375,
2017-04-04,204.193359375,124.72180938720703,173.52938842773438,93.77799987792969,119.62000274658203,11.789999961853027,1133.25,
2017-04-05,203.58633422851562,124.21355438232422,173.201904296875,94.06470489501953,119.62000274658203,12.890000343322754,1124.780029296875,
2017-04-06,204.15867614746094,124.2794418334961,173.36138916015625,93.92516326904297,119.18000030517578,12.390000343322754,1182.6800537109375,
2017-04-07,203.9505615234375,124.21355438232422,173.30271911621094,93.54550170898438,119.45999908447266,12.869999885559082,1176.9000244140625,
2017-04-08,203.9505615234375,124.21355438232422,173.30271911621094,93.54550170898438,119.45999908447266,12.869999885559082,1175.949951171875,
2017-04-09,203.9505615234375,124.21355438232422,173.30271911621094,93.54550170898438,119.45999908447266,12.869999885559082,1187.8699951171875,
2017-04-10,204.07191467285156,124.26060485839844,173.31117248535156,93.97945404052734,119.45999908447266,14.050000190734863,1187.1300048828125,
2017-04-11,203.82916259765625,123.72412872314453,173.2607879638672,94.87069702148438,121.19000244140625,15.069999694824219,1205.010009765625,
